step,reward_score_ma30,response_length_ma30,clip_ratio_ma30
16,0.744531,4308.272,0.195833
17,0.739844,4322.7112,0.197917
18,0.735938,4322.1815,0.20013
19,0.728125,4368.678,0.207812
20,0.729948,4343.3371,0.204557
21,0.728255,4359.4991,0.206901
22,0.728125,4370.3639,0.208203
23,0.731771,4328.0526,0.201562
24,0.734635,4316.157,0.2
25,0.736589,4321.635,0.199089
26,0.7375,4335.4357,0.200651
27,0.738802,4327.6745,0.2
28,0.734245,4336.3893,0.201562
29,0.741536,4322.5245,0.196615
30,0.738802,4331.09,0.196615
31,0.738672,4342.1908,0.197526
32,0.736328,4338.6504,0.198047
33,0.729557,4382.3398,0.203255
34,0.728125,4367.6396,0.202083
35,0.734635,4343.4951,0.195443
36,0.736979,4337.0686,0.192969
37,0.730339,4363.4173,0.198438
38,0.728646,4391.8505,0.20026
39,0.722005,4431.3854,0.20612
40,0.721354,4433.3216,0.20612
41,0.723177,4433.7625,0.207031
42,0.721875,4445.7643,0.209766
43,0.723568,4428.2401,0.210547
44,0.720443,4448.5982,0.211068
45,0.723958,4434.3294,0.207292
46,0.726693,4404.063,0.203516
47,0.725651,4404.5279,0.204036
48,0.728255,4391.9958,0.203906
49,0.736068,4333.0547,0.196094
50,0.735156,4348.602,0.197135
51,0.738672,4318.3178,0.191927
52,0.740234,4300.6991,0.190104
53,0.736849,4332.515,0.19362
54,0.73724,4322.7126,0.193099
55,0.740365,4301.6241,0.192448
56,0.741406,4279.2964,0.189974
57,0.745443,4272.0298,0.18724
58,0.746745,4261.3311,0.186589
59,0.741146,4274.327,0.190495
60,0.746354,4240.3829,0.187891
61,0.746745,4243.7012,0.188411
62,0.75,4232.2353,0.188151
63,0.752865,4190.8999,0.183724
64,0.757292,4166.1676,0.179688
65,0.758724,4153.6414,0.179167
66,0.763021,4138.9042,0.176302
67,0.763021,4144.6374,0.177214
68,0.76224,4126.9094,0.176302
69,0.76888,4076.1654,0.169271
70,0.764974,4100.3258,0.172656
71,0.762891,4121.7701,0.17513
72,0.765625,4104.0559,0.171484
73,0.764974,4109.4163,0.169922
74,0.766927,4092.3283,0.170182
75,0.765365,4105.2057,0.170573
76,0.757943,4127.334,0.176302
77,0.759115,4124.4846,0.177474
78,0.757943,4141.8038,0.177734
79,0.753516,4155.7286,0.18151
80,0.751432,4154.5348,0.183724
81,0.752083,4151.2862,0.180339
82,0.750521,4137.7427,0.180339
83,0.752474,4103.1333,0.177344
84,0.75638,4095.3419,0.172135
85,0.75638,4091.4366,0.170833
86,0.754557,4118.8576,0.173698
87,0.745964,4141.2303,0.179297
88,0.748958,4122.2746,0.177604
89,0.752344,4094.3737,0.174479
90,0.751172,4123.8973,0.176172
91,0.747266,4111.9339,0.176172
92,0.749349,4094.269,0.171875
93,0.752604,4086.8578,0.169401
94,0.751953,4096.4695,0.170573
95,0.750911,4084.5762,0.170833
96,0.748047,4098.8818,0.172786
97,0.748438,4069.3345,0.167318
98,0.75599,4036.6617,0.164974
99,0.75599,4037.3104,0.164453
100,0.75599,4007.6378,0.163802
101,0.759115,3984.9549,0.161589
102,0.755729,3970.5603,0.161719
103,0.757422,3950.1247,0.161458
