step,reward_score,response_length_tokens,clip_ratio
1,0.871094,4114.3633,0.136719
2,0.761719,4723.3477,0.214844
3,0.871094,3872.3945,0.078125
4,0.699219,4653.8906,0.273438
5,0.722656,4226.4727,0.242188
6,0.746094,4659.0234,0.21875
7,0.667969,4975.1602,0.304688
8,0.664062,4685.2773,0.265625
9,0.652344,4464.8867,0.214844
10,0.777344,3879.2031,0.117188
11,0.785156,4092.7148,0.15625
12,0.867188,4050.2461,0.117188
13,0.667969,4563.418,0.238281
14,0.710938,4264.1602,0.222656
15,0.78125,3711.9883,0.136719
16,0.726562,4646.918,0.222656
17,0.789062,3906.8867,0.179688
18,0.699219,5009.5977,0.285156
19,0.574219,4855.125,0.3125
20,0.609375,4985.8477,0.332031
21,0.867188,3867.1953,0.105469
22,0.699219,4094.1953,0.179688
23,0.816406,4146.9375,0.160156
24,0.820312,4022.4336,0.144531
25,0.734375,3732.3867,0.089844
26,0.789062,4273.0586,0.160156
27,0.746094,4484.418,0.15625
28,0.773438,3839.8164,0.203125
29,0.683594,4086.2852,0.210938
30,0.761719,4360.5117,0.195312
31,0.730469,4547.5391,0.199219
32,0.644531,4707.457,0.28125
33,0.636719,5267.2891,0.308594
34,0.753906,3893.6641,0.175781
35,0.671875,4711.332,0.3125
36,0.742188,4984.9688,0.257812
37,0.777344,3705.8203,0.105469
38,0.75,4328.4102,0.21875
39,0.710938,4629.2266,0.1875
40,0.804688,4293.2227,0.164062
41,0.824219,3859.8789,0.136719
42,0.730469,4311.6914,0.164062
43,0.886719,4147.4727,0.089844
44,0.628906,4521.125,0.222656
45,0.777344,4045.0117,0.164062
46,0.65625,4540.707,0.238281
47,0.585938,5217.5703,0.335938
48,0.65625,4568.5898,0.25
49,0.769531,4130.7891,0.113281
50,0.679688,4793.0547,0.257812
51,0.667969,4657.6562,0.269531
52,0.648438,4947.1914,0.234375
53,0.617188,5332.9844,0.335938
54,0.800781,4080.5195,0.144531
55,0.789062,3745.6133,0.117188
56,0.75,4633.1133,0.242188
57,0.796875,3958.6914,0.179688
58,0.679688,4450.5586,0.21875
59,0.789062,3658.2227,0.097656
60,0.84375,3452.5195,0.082031
61,0.699219,4561.4844,0.214844
62,0.722656,4331.4961,0.277344
63,0.871094,3499.0547,0.074219
64,0.726562,4360.082,0.207031
65,0.777344,3802.8086,0.15625
66,0.789062,4456.4062,0.203125
67,0.675781,4660.2969,0.210938
68,0.761719,4034.3398,0.203125
69,0.804688,3996.5703,0.167969
70,0.835938,3623.3906,0.089844
71,0.945312,3641.8828,0.054688
72,0.769531,3990.7305,0.144531
73,0.71875,4537.3477,0.207031
74,0.785156,3502.8047,0.144531
75,0.789062,4144.5586,0.179688
76,0.753906,4196.7305,0.230469
77,0.671875,3977.5078,0.203125
78,0.789062,3826.6211,0.128906
79,0.8125,3755.0039,0.097656
80,0.808594,4350.9375,0.171875
81,0.667969,4829.6523,0.296875
82,0.625,4415.3516,0.207031
83,0.816406,3810.6641,0.125
84,0.683594,4805.332,0.246094
85,0.726562,4388.9414,0.191406
86,0.832031,4101.6875,0.132812
87,0.777344,4119.5039,0.132812
88,0.738281,3937.918,0.226562
89,0.742188,4044.5469,0.109375
90,0.621094,4116.3672,0.253906
91,0.734375,4476.0039,0.25
92,0.6875,4851.0703,0.285156
93,0.738281,3916.8008,0.1875
94,0.664062,4324.2656,0.273438
95,0.796875,3705.3516,0.054688
96,0.742188,4050.1016,0.203125
97,0.734375,3622.0156,0.121094
98,0.878906,3800.5977,0.046875
99,0.804688,3879.4102,0.128906
100,0.78125,4446.0195,0.175781
101,0.6875,4313.0664,0.222656
102,0.859375,3422.0586,0.09375
103,0.820312,3700.3203,0.113281
