step,reward_score_ma30,response_length_ma30,clip_ratio_ma30
16,0.744401,4279.1294,0.194401
17,0.740625,4294.3488,0.196745
18,0.735417,4295.9509,0.20013
19,0.726823,4346.8411,0.208984
20,0.729167,4320.2246,0.205339
21,0.727604,4335.1986,0.207292
22,0.726562,4346.7073,0.209505
23,0.730078,4305.1018,0.202474
24,0.735026,4292.8102,0.199349
25,0.73724,4301.9622,0.198438
26,0.738281,4309.9741,0.198047
27,0.738932,4308.2303,0.197917
28,0.735677,4317.4978,0.198828
29,0.742708,4304.0152,0.19375
30,0.739193,4310.4568,0.194401
31,0.738932,4319.0898,0.195573
32,0.736198,4315.6766,0.197656
33,0.730729,4353.0195,0.201693
34,0.729036,4339.9978,0.201953
35,0.734115,4322.5426,0.198047
36,0.738021,4307.3604,0.19401
37,0.733854,4331.9888,0.197526
38,0.73151,4355.7872,0.199089
39,0.724349,4399.9184,0.205208
40,0.723047,4402.887,0.205859
41,0.724609,4400.7044,0.207031
42,0.723307,4407.5323,0.209896
43,0.727995,4384.8944,0.208854
44,0.725521,4408.1454,0.208854
45,0.728776,4394.6574,0.20599
46,0.732031,4368.2708,0.202474
47,0.73138,4367.7152,0.202344
48,0.735677,4351.8897,0.201042
49,0.744401,4287.1074,0.192318
50,0.744141,4304.0242,0.192839
51,0.747656,4265.0574,0.18737
52,0.750911,4242.8243,0.184245
53,0.748177,4267.0708,0.18763
54,0.748958,4251.7836,0.186719
55,0.752604,4221.7789,0.184505
56,0.753516,4198.0917,0.182552
57,0.757292,4182.6596,0.179688
58,0.758854,4173.6958,0.178906
59,0.754427,4182.9159,0.181641
60,0.759766,4150.8497,0.179036
61,0.760417,4150.0432,0.179167
62,0.765495,4134.1661,0.176953
63,0.767578,4096.7991,0.173568
64,0.770052,4073.0178,0.170052
65,0.771745,4062.6866,0.169531
66,0.774089,4057.5172,0.168229
67,0.772526,4059.0766,0.170573
68,0.771875,4041.6301,0.169531
69,0.776172,3991.0551,0.164714
70,0.771354,4021.2546,0.168359
71,0.771745,4042.7444,0.16875
72,0.773177,4030.3013,0.166146
73,0.771745,4040.7936,0.165755
74,0.773828,4022.8574,0.166146
75,0.771615,4033.1996,0.167578
76,0.764844,4056.9247,0.172786
77,0.765365,4059.0033,0.174219
78,0.763281,4076.4874,0.174349
79,0.759375,4094.7434,0.176172
80,0.757943,4089.5126,0.177474
81,0.758854,4097.553,0.17513
82,0.756771,4087.7285,0.175391
83,0.757552,4066.0833,0.173958
84,0.759635,4062.8904,0.171484
85,0.760026,4060.521,0.170833
86,0.757682,4091.6365,0.173307
87,0.749219,4125.566,0.179948
88,0.752083,4104.2186,0.177604
89,0.755339,4080.2043,0.175911
90,0.754297,4104.3777,0.176823
91,0.75026,4096.0717,0.177083
92,0.750651,4084.3022,0.174089
93,0.753255,4077.3491,0.172135
94,0.753385,4082.1393,0.173177
95,0.753516,4064.526,0.172135
96,0.749219,4078.9783,0.174219
97,0.749089,4046.0402,0.16849
98,0.755729,4016.6223,0.166536
99,0.757161,4012.629,0.164974
100,0.757943,3974.3357,0.163021
101,0.759505,3946.8092,0.161719
102,0.758073,3926.5926,0.160156
